"","team","passer","time","mins","secs","x.start","y.start","x.end","y.end","outcome","assist","key","headed","throw","receiver"
"410","Liverpool","Joseph Gomez",1949,32,29,67.6,36,66.4,64.8,"completed","0","0","0","0","Ragnar Klavan"
"411","Liverpool","Ragnar Klavan",1953,32,33,67.8,73.5,72,84.7,"completed","0","0","0","0","Roberto Firmino"
"412","Liverpool","Roberto Firmino",1959,32,39,78,80.9,78.4,71.5,"completed","0","0","0","0","Elias Kachunga"
"413","Liverpool","Georginio Wijnaldum",1961,32,41,78.4,71.5,88.4,71.8,"failed","0","0","0","0","Aaron Mooy"
"414","Hudd Town","Elias Kachunga",1963,32,43,13,22.2,26.4,7.1,"completed","0","0","0","0","Joel Matip"
"415","Hudd Town","Aaron Mooy",1965,32,45,26.4,7.1,55.2,13.8,"failed","0","0","0","0","James Milner"
"416","Liverpool","Joel Matip",1971,32,51,40.9,77.9,26,57.9,"completed","0","0","0","0","Simon Mignolet"
"417","Liverpool","Simon Mignolet",1972,32,52,26,57.9,36.4,46.1,"completed","0","0","0","0","Joseph Gomez"
"418","Liverpool","Joseph Gomez",1974,32,54,36.4,46.1,46.2,46.3,"completed","0","0","0","0","James Milner"
"419","Liverpool","James Milner",1975,32,55,46.6,41.5,56.3,11.6,"completed","0","0","0","0","Jordan Henderson"
"420","Hudd Town","Jonas Lössl",1978,32,58,15.1,35.2,69.5,29.7,"completed","0","0","0","0","Joel Matip"
"421","Liverpool","Jordan Henderson",1982,33,2,56.3,11.6,54.6,29.5,"completed","0","0","0","0","Joseph Gomez"
"422","Liverpool","Ragnar Klavan",1984,33,4,56.6,75.4,45.5,64.2,"completed","0","0","0","0","Joel Matip"
"423","Liverpool","Joel Matip",1987,33,7,45.5,64.2,54,44.6,"completed","0","0","0","0","Jordan Henderson"
"424","Liverpool","Jordan Henderson",1991,33,11,54,44.6,62.8,76.7,"completed","0","0","0","0","Ragnar Klavan"
"425","Liverpool","Ragnar Klavan",1992,33,12,62.4,76.7,66.3,92.7,"completed","0","0","0","0","Alberto Moreno"
"426","Liverpool","Alberto Moreno",1996,33,16,66.8,92.7,61.7,76.4,"completed","0","0","0","0","Ragnar Klavan"
"427","Liverpool","Ragnar Klavan",1998,33,18,61.8,74.5,61.4,39.5,"completed","0","0","0","0","Jordan Henderson"
"428","Liverpool","Jordan Henderson",2001,33,21,62,36.7,66.4,7.1,"completed","0","0","0","0","Joseph Gomez"
"429","Liverpool","Joseph Gomez",2003,33,23,66.4,7.1,63,34,"completed","0","0","0","0","Jordan Henderson"
"430","Liverpool","Jordan Henderson",2007,33,27,63.7,34.9,63.8,67.9,"completed","0","0","0","0","Ragnar Klavan"
"431","Liverpool","Ragnar Klavan",2011,33,31,66.5,65.2,69.4,58.1,"completed","0","0","0","0","Jordan Henderson"
"432","Liverpool","Jordan Henderson",2012,33,32,69.4,58.1,77.4,61.5,"completed","0","0","0","0","Daniel Sturridge"
"433","Liverpool","Daniel Sturridge",2013,33,33,77.4,61.5,72.6,58.7,"completed","1","1","0","0","Daniel Sturridge"
"434","Liverpool","James Milner",2015,33,35,55.7,32.2,61.4,45.2,"failed","0","0","0","0","Mohamed Salah"
"435","Liverpool","Joseph Gomez",2040,33,60,45.5,51.3,56,75.4,"completed","0","0","0","0","Ragnar Klavan"
"436","Hudd Town","Christopher Schindler",2043,34,3,30.1,81.1,38.9,95.6,"completed","0","0","0","0","Aaron Mooy"
"437","Hudd Town","Chris Löwe",2047,34,7,40.9,96.5,69.8,93,"failed","0","0","0","0","Joseph Gomez"
"438","Liverpool","Joseph Gomez",2050,34,10,22.9,4.1,36.9,9.7,"failed","0","0","0","0","Jonathan Hogg"
